a,w,a_change,w_change
12,23,1.5218034616399998,2.8132863055999997
12,24,1.469280068,3.522837674285714
12,25,1.0960988551923077,3.6263378305769227
12,26,1.3174048923076922,3.6039553683076933
12,27,0.6345586463157895,3.110522679824562
12,28,0.33716373942857164,3.254851454
12,29,0.2780641866666668,3.3257628595238096
12,30,-0.8918586157142858,3.3617801000000003
13,-3,2.544749229999999,-2.230645283
13,-2,1.462631205000001,4.673355685
13,-1,5.182096482,-0.3080117304000001
13,0,1.6494256139999997,3.4518940426
13,1,5.635641529999999,1.2581102
13,2,-0.1645145604999998,5.2807816354999995
13,3,0.08146219799999983,3.3554483308000003
13,4,-3.173279280000001,5.705871439000001
13,5,-0.2768285550000007,1.5268714580000005
13,6,-2.1533021233333334,3.7645075926666665
13,7,0.04188639428571404,2.1514529624285714
13,8,3.4801516299999995,3.135387559647059
13,9,4.086272901025641,2.9446652005128207
13,10,2.828785606451613,2.78833747
13,11,1.3794959619999998,2.54452919
13,12,1.5881819811111113,2.113799509444445
13,13,1.827637420526316,2.8998659110526317
13,14,1.1313785921428565,2.2483583035714276
13,15,1.8917700177777776,2.8976383366666663
13,16,1.7337477876470593,3.005701702352941
13,17,1.7392167721875,2.5652295406250003
13,18,1.8300998965517241,2.8560068155172416
13,19,2.284325060967742,3.2679857322580643
13,20,1.0680281085714283,2.458755285
13,21,1.479673803114754,3.3303382821311476
13,22,1.3024974332972972,3.019706353378379
13,23,1.1454451198076927,2.802088855384616
13,24,1.0822220116585366,3.805550831219512
13,25,0.6761796514999999,4.037026304411764
13,26,0.5948728048275862,3.002780407931035
13,27,0.4325038019512194,2.86827816
13,28,0.01211528620689661,2.975002754137931
13,29,0.9851181076000001,2.8008770719999996
14,-8,2.4182910000000017,-0.683813668
14,-7,3.9263091599999997,-1.5301674909999998
14,-6,1.1384544000000005,1.8875165909999998
14,-4,-0.16885618000000058,-0.45245246900000025
14,-3,5.456909195000001,-0.18825535749999966
14,-2,2.1945070700000002,2.787176114
14,-1,5.180926858000001,-2.2344743792000004
14,0,0.5209862257142858,3.0530713757142856
14,1,0.6565077499999994,5.602744788000001
